redmi 7	https://m.media-amazon.com/images/I/61V8+YxRWqL._AC_UY218_.jpg	2	32	7499	https://www.amazon.in/Redmi-Comet-Blue-32GB-Storage/dp/B07QT54G6P/ref=sr_1_25?qid=1567241146&s=electronics&sr=1-25	1	amazon
oppo k3	https://m.media-amazon.com/images/I/71ZzqHNrwCL._AC_UY218_.jpg	6	64	16990	https://www.amazon.in/OPPO-Aurora-Blue-64GB-Storage/dp/B07PQ7CXLV/ref=sr_1_26?qid=1567241146&s=electronics&sr=1-26	1	amazon
oppo a7	https://m.media-amazon.com/images/I/51khqzVPLlL._AC_UY218_.jpg	3	64	9990	https://www.amazon.in/A7-Storage-Additional-Exchange-Offers/dp/B07MBP65HK/ref=sr_1_27?qid=1567241146&s=electronics&sr=1-27	1	amazon
samsung galaxy m40	https://m.media-amazon.com/images/I/61yMQIMMODL._AC_UY218_.jpg	6	128	19990	https://www.amazon.in/Test-Exclusive-646/dp/B07HGJKDRR/ref=sr_1_28?qid=1567241146&s=electronics&smid=A1EWEIV3F4B24B&sr=1-28	1	amazon
realme 3 pro	https://m.media-amazon.com/images/I/71awFg9gYfL._AC_UY218_.jpg	4	64	13978	https://www.amazon.in/Realme-Nitro-Blue-64GB-Storage/dp/B07QZZRD4N/ref=sr_1_29?qid=1567241146&s=electronics&sr=1-29	1	amazon
redmi 6a	https://m.media-amazon.com/images/I/71CKuOhcuAL._AC_UY218_.jpg	2	32	6199	https://www.amazon.in/Redmi-6A-Gold-32GB-Storage/dp/B07DJD1H1C/ref=sr_1_30?qid=1567241146&s=electronics&sr=1-30	1	amazon
redmi y3	https://m.media-amazon.com/images/I/61--lEl-SnL._AC_UY218_.jpg	3	32	8999	https://www.amazon.in/Redmi-Y3-Bold-32GB-Storage/dp/B07QS42NKG/ref=sr_1_32?qid=1567241146&s=electronics&sr=1-32	1	amazon
samsung galaxy m30	https://m.media-amazon.com/images/I/816RTtou9zL._AC_UY218_.jpg	6	128	16990	https://www.amazon.in/Samsung-Galaxy-M30-Gradation-Blue/dp/B07HGMLBZ1/ref=sr_1_33?qid=1567241146&s=electronics&sr=1-33	1	amazon
realme u1	https://m.media-amazon.com/images/I/61K56dRy-2L._AC_UY218_.jpg	3	32	8999	https://www.amazon.in/Realme-Ambitious-Black-32GB-Storage/dp/B07HGH3CGB/ref=sr_1_34?qid=1567241146&s=electronics&sr=1-34	1	amazon
oneplus 7	https://m.media-amazon.com/images/I/512xYZ5OjGL._AC_UY218_.jpg	8	256	37999	https://www.amazon.in/Test-Exclusive-609/dp/B07HGJFVL2/ref=sr_1_36?qid=1567241146&s=electronics&sr=1-36	1	amazon
redmi 7	https://m.media-amazon.com/images/I/61XQ4wLdamL._AC_UY218_.jpg	3	32	8499	https://www.amazon.in/Redmi-Eclipse-Black-32GB-Storage/dp/B07QS3XJTN/ref=sr_1_37?qid=1567241146&s=electronics&sr=1-37	1	amazon
oneplus 7 pro	https://m.media-amazon.com/images/I/51FwsSj8knL._AC_UY218_.jpg	8	256	52999	https://www.amazon.in/Test-Exclusive-606/dp/B07HGJK535/ref=sr_1_38?qid=1567241146&s=electronics&sr=1-38	1	amazon
vivo s1	https://m.media-amazon.com/images/I/71UXuTWgXkL._AC_UY218_.jpg	4	128	17990	https://www.amazon.in/Vivo-Skyline-Storage-Additional-Exchange/dp/B07SCP6HD9/ref=sr_1_42?qid=1567241146&s=electronics&sr=1-42	1	amazon
realme 3	https://m.media-amazon.com/images/I/61up2yrL2VL._AC_UY218_.jpg	3	32	9773	https://www.amazon.in/Realme-Radiant-Blue-32GB-Storage/dp/B07R2JYQ7Y/ref=sr_1_44?qid=1567241146&s=electronics&sr=1-44	1	amazon
oneplus 7 pro	https://m.media-amazon.com/images/I/51FwsSj8knL._AC_UY218_.jpg	12	256	57999	https://www.amazon.in/Test-Exclusive-607/dp/B07HGJKDQB/ref=sr_1_46?qid=1567241146&s=electronics&sr=1-46	1	amazon
oneplus 7 pro	https://m.media-amazon.com/images/I/51s0Mb5li8L._AC_UY218_.jpg	6	128	48999	https://www.amazon.in/Test-Exclusive-603/dp/B07HG8SBDV/ref=sr_1_50?qid=1567245806&s=electronics&sr=1-50	1	amazon
huawei y9 prime 2019	https://m.media-amazon.com/images/I/516TmRC8uHL._AC_UY218_.jpg	4	128	15990	https://www.amazon.in/Huawei-Prime-Emerald-Green-Storage/dp/B07S5SDV8F/ref=sr_1_52?qid=1567245806&s=electronics&sr=1-52	1	amazon
